condition,agent_ratio,round,player_id,player_type,expression,is_last,analogical,holistic,event
Pure-human (0%),0.0,36,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward.",True,0.75,0.6,0.45
Pure-human (0%),0.0,37,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward.",True,0.75,0.6,0.45
Pure-human (0%),0.0,38,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward.",True,0.75,0.6,0.45
Pure-human (0%),0.0,39,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward.",True,0.75,0.6,0.45
Pure-human (0%),0.0,40,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward.",True,0.75,0.6,0.45
Pure-human (0%),0.0,36,human_15,human,a grey rabbit is sitting on the ground and looking back in the night.,True,0.85,0.7,0.6
Pure-human (0%),0.0,37,human_15,human,a grey rabbit is sitting on the ground and looking back,True,0.85,0.7,0.6
Pure-human (0%),0.0,38,human_15,human,a grey rabbit is sitting on the ground and looking back,True,0.85,0.7,0.6
Pure-human (0%),0.0,39,human_15,human,a grey rabbit with two ears is sitting on the ground and looking back,True,0.85,0.7,0.6
Pure-human (0%),0.0,40,human_15,human,a grey rabbit with two ears is sitting on the ground and looking back,True,0.85,0.7,0.6
Pure-human (0%),0.0,36,human_7,human,it looks like a rabbit is sitting there and looking back,True,0.85,0.7,0.45
Pure-human (0%),0.0,37,human_7,human,it looks like a rabbit is sitting there and looking back,True,0.85,0.7,0.45
Pure-human (0%),0.0,38,human_7,human,it looks like a rabbit is sitting there and looking back,True,0.85,0.7,0.45
Pure-human (0%),0.0,39,human_7,human,it looks like a rabbit is sitting there and looking back,True,0.85,0.7,0.45
Pure-human (0%),0.0,40,human_7,human,it looks like a rabbit is sitting there and looking back,True,0.85,0.7,0.45
Pure-human (0%),0.0,36,human_14,human,a gray rabbit sitting on the ground to rest and looking back,True,0.85,0.7,0.6
Pure-human (0%),0.0,37,human_14,human,"a rabbit made of geometric shapes, sitting on the ground to rest, looking back",True,0.85,0.7,0.6
Pure-human (0%),0.0,38,human_14,human,a rabbit made of geometric shapes looking back at its tail,True,0.85,0.7,0.35
Pure-human (0%),0.0,39,human_14,human,a small animal made of geometric shapes looks back sadly,True,0.75,0.85,0.4
Pure-human (0%),0.0,40,human_14,human,a little rabbit looks back sadly,True,0.85,0.7,0.6
Pure-human (0%),0.0,36,human_23,human,a rabbit hidden in the darkness made of tangram,True,0.85,0.7,0.15
Pure-human (0%),0.0,37,human_23,human,"a rabbit hidden in the darkness, made of tangram, is looking down at its tail",True,0.85,0.7,0.45
Pure-human (0%),0.0,38,human_23,human,this is an abstract artwork modeled after the image of a rabbit,True,0.75,0.5,0.0
Pure-human (0%),0.0,39,human_23,human,this is a squatting rabbit image made of tangram,True,0.75,0.6,0.2
Pure-human (0%),0.0,40,human_23,human,a rabbit made of tangram is squatting in the dark night,True,0.85,0.7,0.45
Pure-human (0%),0.0,36,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting.",True,0.85,0.7,0.65
Pure-human (0%),0.0,37,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting.",True,0.85,0.7,0.65
Pure-human (0%),0.0,38,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting.",True,0.85,0.7,0.65
Pure-human (0%),0.0,39,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the floor and looking back, waiting for a companion in loneliness while resting.",True,0.85,0.7,0.65
Pure-human (0%),0.0,40,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting.",True,0.85,0.7,0.65
