round,you,peer,judged_ai,willingness
0,"This is a figure with black background and white pattern of a geometric design, using triangles, squares and parallelograms to show a rabbit. ",Some polygons consists of a shape like a deer.,0,3.0
19,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",Multiple polygons form a sitting rabbit against a black background,0,4.0
37,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background",Polygons (triangles and a square) form a shape like a abstract gray horse sitting in a black background looking back.,0,4.0
39,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background",A rabbit with ears and a head is sitting in a black background.,0,3.0
2,This figure is a geometric design with black and white to show a deer or a rabbit.,The image includes several grey blocks and looks like a rabbit sitting on the ground.,0,4.0
38,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background", Multiple grey triangles and squares forms a sitting rabbit under black background.,0,4.0
1,This is a monochrome figure using geometric design to show an abstract animal considering to be a deer or a rabbit.,the gray section resembles a rabbit,0,3.0
20,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",Multiple grey triangles and squares forms a sitting rabbit under black background.,0,4.0
20,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",Multiple grey triangles and squares forms a sitting rabbit under black background.,0,4.0
1,A image composed of triangles and quadrilaterals.,A sitting grey rabbit is composed of different shapes and its background is black.,0,3.0
37, Multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.,"The sky is dark, and the rabbit is very lonely.",0,1.0
19,Multiple grey triangles and squares forms a sitting rabbit under black background.,Grey polygons forms a rabbit sitting on the groud under black background.,0,5.0
20,Multiple grey triangles and squares forms a sitting rabbit under black background.,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",0,4.0
38, Multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.,Polygons (triangles and a square) form a shape like a abstract gray deer sitting in a black background looking back.,1,1.0
2,A grey sitting rabbit made of different shapes.,Geometric shapes forming a figure like a rabbit sitting against the wall.,0,4.0
